1 program PROG 13 NIL 44
30 and MULOP 56 AND 42
30 ( LPAR 50 NIL 44
30 ( LPAR 50 NIL 44
30 b ID 53 NIL 0x15bf042c0
30 <= RELOP 54 LTEQ 32
30 e ID 53 NIL 0x15bf047d0
30 ) RPAR 51 NIL 44
30 or ADDOP 55 OR 37
30 ( LPAR 50 NIL 44
30 not NOT 28 NIL 44
30 ( LPAR 50 NIL 44
30 a ID 53 NIL 0x15bf04230
30 = RELOP 54 EQ 29
30 c ID 53 NIL 0x15bf04350
30 [ LBRACK 48 NIL 44
30 a ID 53 NIL 0x15bf04230
30 ] RBRACK 49 NIL 44
30 ) RPAR 51 NIL 44
30 ) RPAR 51 NIL 44
30 ) RPAR 51 NIL 44
30 ) RPAR 51 NIL 44
30 do DO 27 NIL 44
31 begin BEG 22 NIL 44
32 a ID 53 NIL 0x15bf04230
32 := ASSIGN 24 NIL 44
32 c ID 53 NIL 0x15bf04350
32 [ LBRACK 48 NIL 44
32 a ID 53 NIL 0x15bf04230
32 ] RBRACK 49 NIL 44
32 + ADDOP 55 PLUS 35
32 1 NUM 16 INT 18
33 end END 23 NIL 44
34 end END 23 NIL 44
34 ; SEMI 45 NIL 44
35 begin BEG 22 NIL 44
36 call CALL 53 NIL 0x15bf04a10
36 proc2 ID 53 NIL 0x15bf04740
36 ( LPAR 50 NIL 44
36 c ID 53 NIL 0x15bf04350
36 [ LBRACK 48 NIL 44
36 4 NUM 16 INT 18
36 ] RBRACK 49 NIL 44
36 , COMMA 47 NIL 44
36 c ID 53 NIL 0x15bf04350
36 [ LBRACK 48 NIL 44
36 5 NUM 16 INT 18
36 ] RBRACK 49 NIL 44
36 ) RPAR 51 NIL 44
36 ; SEMI 45 NIL 44
37 call CALL 53 NIL 0x15bf04a10
37 proc2 ID 53 NIL 0x15bf04740
37 ( LPAR 50 NIL 44
37 c ID 53 NIL 0x15bf04350
37 [ LBRACK 48 NIL 44
37 4 NUM 16 INT 18
37 ] RBRACK 49 NIL 44
37 , COMMA 47 NIL 44
37 2 NUM 16 INT 18
37 ) RPAR 51 NIL 44
37 ; SEMI 45 NIL 44
38 if IF 11 NIL 44
38 ( LPAR 50 NIL 44
38 a ID 53 NIL 0x15bf04230
38 < RELOP 54 LT 31
38 2 NUM 16 INT 18
38 ) RPAR 51 NIL 44
38 then THEN 12 NIL 44
38 a ID 53 NIL 0x15bf04230
38 := ASSIGN 24 NIL 44
38 1 NUM 16 INT 18
38 else ELSE 25 NIL 44
38 a ID 53 NIL 0x15bf04230
38 := ASSIGN 24 NIL 44
38 a ID 53 NIL 0x15bf04230
38 + ADDOP 55 PLUS 35
38 2 NUM 16 INT 18
38 ; SEMI 45 NIL 44
39 if IF 11 NIL 44
39 ( LPAR 50 NIL 44
39 b ID 53 NIL 0x15bf042c0
39 > RELOP 54 GT 34
39 4.2 NUM 16 REAL 19
39 ) RPAR 51 NIL 44
39 then THEN 12 NIL 44
39 a ID 53 NIL 0x15bf04230
39 := ASSIGN 24 NIL 44
39 c ID 53 NIL 0x15bf04350
39 [ LBRACK 48 NIL 44
39 a ID 53 NIL 0x15bf04230
39 ] RBRACK 49 NIL 44
40 end END 23 NIL 44
40 . DOT 46 NIL 44
40 EOF EOF 58 NIL 44
